000000000000 	 5 
000000000001 	 44 
000000000010 	 44 
000000000011 	 29 
000000000100 	 44 
000000000101 	 8 
000000000110 	 29 
000000000111 	 25 
000000001000 	 44 
000000001001 	 29 
000000001010 	 29 
000000001011 	 6 
000000001100 	 29 
000000001101 	 25 
000000001110 	 6 
000000001111 	 57 
000000010000 	 44 
000000010001 	 8 
000000010010 	 8 
000000010011 	 18 
000000010100 	 29 
000000010101 	 18 
000000010110 	 25 
000000010111 	 34 
000000011000 	 29 
000000011001 	 25 
000000011010 	 25 
000000011011 	 59 
000000011100 	 6 
000000011101 	 59 
000000011110 	 57 
000000011111 	 16 
000000100000 	 44 
000000100001 	 29 
000000100010 	 8 
000000100011 	 25 
000000100100 	 8 
000000100101 	 18 
000000100110 	 18 
000000100111 	 34 
000000101000 	 29 
000000101001 	 6 
000000101010 	 25 
000000101011 	 57 
000000101100 	 25 
000000101101 	 59 
000000101110 	 59 
000000101111 	 16 
000000110000 	 29 
000000110001 	 25 
000000110010 	 18 
000000110011 	 34 
000000110100 	 25 
000000110101 	 34 
000000110110 	 34 
000000110111 	 31 
000000111000 	 6 
000000111001 	 57 
000000111010 	 59 
000000111011 	 16 
000000111100 	 57 
000000111101 	 16 
000000111110 	 16 
000000111111 	 11 
000001000000 	 44 
000001000001 	 8 
000001000010 	 29 
000001000011 	 25 
000001000100 	 29 
000001000101 	 18 
000001000110 	 6 
000001000111 	 59 
000001001000 	 8 
000001001001 	 18 
000001001010 	 25 
000001001011 	 59 
000001001100 	 25 
000001001101 	 34 
000001001110 	 57 
000001001111 	 16 
000001010000 	 8 
000001010001 	 14 
000001010010 	 18 
000001010011 	 58 
000001010100 	 25 
000001010101 	 58 
000001010110 	 59 
000001010111 	 31 
000001011000 	 18 
000001011001 	 58 
000001011010 	 34 
000001011011 	 31 
000001011100 	 59 
000001011101 	 31 
000001011110 	 16 
000001011111 	 62 
000001100000 	 42 
000001100001 	 33 
000001100010 	 33 
000001100011 	 52 
000001100100 	 33 
000001100101 	 56 
000001100110 	 52 
000001100111 	 41 
000001101000 	 33 
000001101001 	 52 
000001101010 	 52 
000001101011 	 35 
000001101100 	 52 
000001101101 	 41 
000001101110 	 35 
000001101111 	 21 
000001110000 	 33 
000001110001 	 56 
000001110010 	 56 
000001110011 	 7 
000001110100 	 52 
000001110101 	 7 
000001110110 	 41 
000001110111 	 22 
000001111000 	 52 
000001111001 	 41 
000001111010 	 41 
000001111011 	 1 
000001111100 	 35 
000001111101 	 1 
000001111110 	 21 
000001111111 	 30 
000010000000 	 44 
000010000001 	 29 
000010000010 	 29 
000010000011 	 6 
000010000100 	 8 
000010000101 	 18 
000010000110 	 25 
000010000111 	 59 
000010001000 	 8 
000010001001 	 25 
000010001010 	 25 
000010001011 	 57 
000010001100 	 18 
000010001101 	 34 
000010001110 	 59 
000010001111 	 16 
000010010000 	 42 
000010010001 	 33 
000010010010 	 33 
000010010011 	 52 
000010010100 	 33 
000010010101 	 56 
000010010110 	 52 
000010010111 	 41 
000010011000 	 33 
000010011001 	 52 
000010011010 	 52 
000010011011 	 35 
000010011100 	 52 
000010011101 	 41 
